"","Date","Period","ID1","ID2"
"359","6/23/21","2","MN29","MN40"
"360","6/23/21","2","MN76","MN63B"
"361","6/23/21","2","MN76","MN18"
"362","6/23/21","2","MN63B","MN18"
"363","6/23/21","2","MN20","MN21"
"364","6/23/21","2","MN22","MN69"
"365","6/23/21","2","MN22","MN70"
"366","6/23/21","2","MN69","MN70"
"367","6/23/21","2","MN1","MN55"
"368","6/23/21","2","MN8","MN19"
"369","6/23/21","2","MN60","MN64"
"370","6/23/21","2","MN60","MN51"
"371","6/23/21","2","MN64","MN51"
"372","6/24/21","2","MN28","MN17"
"373","6/24/21","2","MN28","MN12"
"374","6/24/21","2","MN17","MN12"
"375","6/24/21","2","MN13B","MN13A"
"376","6/24/21","2","MN44","MN67"
"377","6/24/21","2","MN44","MN70"
"378","6/24/21","2","MN67","MN70"
"379","6/24/21","2","MN71","MN54"
"380","6/24/21","2","MN29","MN59"
"381","6/24/21","2","MN29","MN40"
"382","6/24/21","2","MN59","MN40"
"383","6/24/21","2","MN63B","MN18"
"384","6/24/21","2","MN21","MN20"
"385","6/24/21","2","MN69","MN22"
"386","6/24/21","2","MN55","MN56"
"387","6/24/21","2","MN55","MN76"
"388","6/24/21","2","MN56","MN76"
"389","6/24/21","2","MN64","MN60"
"390","6/24/21","2","MN31","MN26"
"391","6/24/21","2","MN31","MN46"
"392","6/24/21","2","MN26","MN46"
"393","6/24/21","2","MN48","MN1"
"394","7/2/21","3","MN28","MN12"
"395","7/2/21","3","MN28","MN17"
"396","7/2/21","3","MN12","MN17"
"397","7/2/21","3","MN13A","MN13B"
"398","7/2/21","3","MN71","MN54"
"399","7/2/21","3","MN40","MN29"
"400","7/2/21","3","MN40","MN59"
"401","7/2/21","3","MN29","MN59"
"402","7/2/21","3","MN20","MN21"
"403","7/2/21","3","MN69","MN22"
"404","7/2/21","3","MN69","MN70"
"405","7/2/21","3","MN22","MN70"
"406","7/2/21","3","MN16","MN67"
"407","7/2/21","3","MN16","MN56"
"408","7/2/21","3","MN67","MN56"
"409","7/2/21","3","MN55","MN31"
"410","7/2/21","3","MN76","MN46"
"411","7/2/21","3","MN14","MN23"
"412","7/3/21","3","MN28","MN18"
